country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_prsi_monthly_eur,employer_prsi_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,income_tax_monthly_eur,usc_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.15,2750.0525,115.48,309.4,115.48,309.4,0.04199192560869293,0.11250694304926906,2634.5725,216.68,43.57,2374.3225,3059.4525,424.88,685.13,1.1612709462351103,1.2885581044698016,23.913499999999658,22.92350000000033,17.42350000000033,26.643499999999676,3.7199999999999704,9.220000000000027,0.9586007903485755,0.7286051811738382,1.114161456917643,0.15556066656909376,0.3855562757438334
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.16,2773.966,116.52,312.09,116.52,312.09,0.042004840722633226,0.1125067863124494,2657.446,221.46,44.29,2391.696,3086.056,428.61,694.36,1.1612864381816226,1.2903211779423474,23.913500000000113,22.873499999999694,17.373499999999694,26.603500000000167,3.730000000000018,9.230000000000018,0.9565099211742148,0.726514311999482,1.1124887615781898,0.15597884040395596,0.3859744495786888
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.17,2797.8795,117.52,314.77,117.52,314.77,0.042003238524032226,0.11250305811955091,2680.3595,226.24,45.01,2409.1095,3112.6495,432.29,703.54,1.1612806043368435,1.2920332180832794,23.913500000000113,22.913500000000113,17.413500000000113,26.59349999999995,3.680000000000007,9.17999999999995,0.958182616513685,0.728187007338952,1.1120705877433175,0.1538879712296397,0.3838835804043702
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.18,2821.793,118.52,317.46,118.52,317.46,0.042001663481339706,0.11250293696242071,2703.273,231.03,45.72,2426.523,3139.253,435.98,712.73,1.1612785686092377,1.293724807059319,23.913500000000113,22.913500000000113,17.413500000000113,26.603500000000167,3.6899999999999977,9.190000000000055,0.958182616513685,0.728187007338952,1.1124887615781898,0.1543061450645025,0.38430175423923774
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.19,2845.7065,119.51,320.15,119.51,320.15,0.04199660084411376,0.1125028178415448,2726.1965,235.81,46.44,2443.9465,3165.8565,439.66,721.91,1.1612723074070415,1.2953869898543198,23.913499999999658,22.923499999999876,17.423499999999876,26.603499999999713,3.680000000000007,9.17999999999995,0.9586007903485564,0.7286051811738192,1.112488761578192,0.15388797122964265,0.3838835804043775
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.2,2869.62,120.51,322.83,120.51,322.83,0.04199510736613211,0.11249921592405963,2749.11,240.59,47.16,2461.36,3192.45,443.34,731.09,1.1612667372349597,1.2970268469464037,23.913500000000113,22.913500000000113,17.413500000000113,26.59349999999995,3.67999999999995,9.180000000000064,0.958182616513685,0.728187007338952,1.1120705877433175,0.15388797122963735,0.3838835804043749
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.21,2893.5335,121.55,325.52,121.55,325.52,0.04200746250216215,0.11249912952450697,2771.9835,245.37,47.87,2478.7435,3219.0535,447.07,740.31,1.1612816237903292,1.298663415557116,23.913500000000113,22.873499999999694,17.383499999999913,26.603500000000167,3.730000000000018,9.219999999999914,0.9565099211742148,0.7269324858343542,1.1124887615781898,0.15597884040395596,0.3855562757438213
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.22,2917.447,122.55,328.21,122.55,328.21,0.042005904477442096,0.11249904454134044,2794.897,250.16,48.59,2496.147,3245.657,450.76,749.51,1.1612796464413537,1.300266771147693,23.913500000000113,22.913500000000113,17.403499999999894,26.603500000000167,3.6899999999999977,9.200000000000045,0.958182616513685,0.7277688335040798,1.1124887615781898,0.1543061450645025,0.3847199280741005
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.23,2941.3605,123.54,330.89,123.54,330.89,0.04200097199918202,0.11249556115273868,2817.8205,254.94,49.31,2513.5705,3272.2505,454.43,758.68,1.1612700312173894,1.301833586923462,23.913499999999658,22.923499999999876,17.423499999999876,26.59349999999995,3.670000000000016,9.169999999999959,0.9586007903485564,0.7286051811738192,1.1120705877433388,0.15346979739477987,0.3834654065695147
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.24,2965.274,124.54,333.58,124.54,333.58,0.0419994914466589,0.11249550631746004,2840.734,259.72,50.03,2530.984,3298.854,458.12,767.87,1.1612681792804254,1.3033879313342163,23.913500000000113,22.913500000000113,17.413500000000113,26.603499999999713,3.6899999999999977,9.190000000000055,0.958182616513685,0.728187007338952,1.112488761578171,0.1543061450645025,0.38430175423923774
